Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status"
-,-,2240-MT4536B-ND,MT4536B,"Transforming Technologies, LlC",2LYR ESD TBL MAT 36""X50' BLUE,0,0,"-","0","0","-","*","-"
-,-,2240-HG1370-ND,HG1370,"Transforming Technologies, LlC",ESD HEEL GROUNDER CUP STYLE ORNG,0,0,"Active","0","0","-","*","Active"
-,-,2240-CM410PV-ND,CM410PV,"Transforming Technologies, LlC",CM400 & CM410 VERIFICATION TOOL,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9024SPBK-ND,JKC9024SPBK,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF L BLACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9027SPLB-ND,JKC9027SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 3XL LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT3672RB-ND,MT3672RB,"Transforming Technologies, LlC",2LYR ESD TBL MAT 36""X72"" RYL BL,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4548B-ND,MT4548B,"Transforming Technologies, LlC",2LYR ESD TBL MAT 48""X50' BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-BFN802-ND,BFN802,"Transforming Technologies, LlC",2FAN OVERHD IONZIER W/LED LIGHT,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4548GN-ND,MT4548GN,"Transforming Technologies, LlC",2LYR ESD TBL MAT 48""X50' GREEN,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT2436GN-ND,MT2436GN,"Transforming Technologies, LlC",2LYR ESD TABLE MAT 24""X36"" GREEN,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9021SPMR-ND,JKC9021SPMR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XS MAROON,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4536RB-ND,MT4536RB,"Transforming Technologies, LlC",2LYR ESD TBL MAT 36""X50' RYL BL,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2504T-ND,GL2504T,"Transforming Technologies, LlC",LG ESD CUT RES GLOVES FINGER CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9027SPGN-ND,JKC9027SPGN,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 3XL YLW-GRN,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9021SPTL-ND,JKC9021SPTL,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XS TEAL,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2506-ND,GL2506,"Transforming Technologies, LlC",2XL ESD CUT RES GLOVES UNCTD,0,0,"Active","0","0","-","*","Active"
